filename,datetime
RK_gpx _2017-05-27_1631.gpx,2017-05-27 16:31:00
RK_gpx _2017-05-28_1722.gpx,2017-05-28 17:22:00
RK_gpx _2017-06-03_1726.gpx,2017-06-03 17:26:00
RK_gpx _2017-06-10_1653.gpx,2017-06-10 16:53:00
RK_gpx _2017-06-11_1650.gpx,2017-06-11 16:50:00
RK_gpx _2017-06-16_1719.gpx,2017-06-16 17:19:00
RK_gpx _2017-06-19_1708.gpx,2017-06-19 17:08:00
RK_gpx _2017-06-28_1827.gpx,2017-06-28 18:27:00
RK_gpx _2017-07-03_2055.gpx,2017-07-03 20:55:00
RK_gpx _2017-07-07_1620.gpx,2017-07-07 16:20:00
RK_gpx _2017-07-08_1651.gpx,2017-07-08 16:51:00
RK_gpx _2017-07-13_1747.gpx,2017-07-13 17:47:00
RK_gpx _2017-07-15_0856.gpx,2017-07-15 08:56:00
RK_gpx _2017-07-17_1741.gpx,2017-07-17 17:41:00
RK_gpx _2017-07-25_1624.gpx,2017-07-25 16:24:00
RK_gpx _2017-07-27_1646.gpx,2017-07-27 16:46:00
